id,username,password,email,role,created_at,updated_at,keycloak_id
2,nuevoNombre,$2b$10$2IPRxNhUAi0OoNV1nj6Iv.Ut7HjxAhzbif5jX/oUirvSoeApGNd/.,nuevo@email.com,admin,Sun Mar 23 2025 20:13:01 GMT-0600 (hora estándar central),Sun Mar 23 2025 20:13:01 GMT-0600 (hora estándar central),
7,2,$2b$10$4n2wYZ4w9jv1VQGVqoBDXOGw2OB5AMwvi7Z3S8.dZ4PDsP9YUrPAW,daf,admin,Mon Mar 24 2025 18:48:29 GMT-0600 (hora estándar central),Mon Mar 24 2025 18:48:29 GMT-0600 (hora estándar central),
9,8,$2b$10$Ak3FKCoCY6//XpnVoMt.q.FoETr/8Cpu6vP5PO/drYDOTM3nckuMy,daffs,admin,Mon Mar 24 2025 18:49:40 GMT-0600 (hora estándar central),Mon Mar 24 2025 18:49:40 GMT-0600 (hora estándar central),
10,9,$2b$10$/ChBhbnqh9lp0Cf12b6P1O4h5DFnpm1f7kNc0ohWu18OySqOHDMLu,daffsf,user,Mon Mar 24 2025 18:49:53 GMT-0600 (hora estándar central),Mon Mar 24 2025 18:49:53 GMT-0600 (hora estándar central),
11,12,$2b$10$5fkve9OHo6xeCwzIPPiaDuX.ezlplG/dT2Jv2lpx6mGW7rdIeC58u,dafdasfdf,admin,Mon Mar 24 2025 23:14:14 GMT-0600 (hora estándar central),Mon Mar 24 2025 23:14:14 GMT-0600 (hora estándar central),
14,166,$2b$10$BwcLAa7O9eeqJuWumCAAneygGdrJd9ddRQ.YjhBFQwU6q9qwZ.OqC,dafdasfdfjhkl,admin,Mon Mar 24 2025 23:17:46 GMT-0600 (hora estándar central),Mon Mar 24 2025 23:17:46 GMT-0600 (hora estándar central),
16,166j,$2b$10$5tDFGpWdPSprinusisw90uYvVtXZdhWQkpAU8Sc1tDtolklWFf7Fm,dafdasfdfjhkljnk,admin,Tue Mar 25 2025 00:01:44 GMT-0600 (hora estándar central),Tue Mar 25 2025 00:01:44 GMT-0600 (hora estándar central),
17,ddddddfffsdfsfdsaff,$2b$10$TKLEW0KV3PZp/xv6CmrRweZZVnhYyTqPutYgrO9PPKbgTMMqPWWim,fffhasdddfsaffsafdsdff@gmail.com,admin,Tue Mar 25 2025 12:01:19 GMT-0600 (hora estándar central),Tue Mar 25 2025 12:01:19 GMT-0600 (hora estándar central),06cde2c5-505b-40f3-a5eb-35c424782385
18,hola,$2b$10$eWkiW2mpc6m1oh88IlhS/e2CEidGFp3hKZ6O87RtsqzNsjHwk6FQu,hola@gmail.com,admin,Tue Mar 25 2025 12:01:49 GMT-0600 (hora estándar central),Tue Mar 25 2025 12:01:49 GMT-0600 (hora estándar central),128953ef-ae15-416c-8cf5-089745bd43d2
19,hola2,$2b$10$LIKRHeJKc431Qf1hVFsncOU9hq4VurQXB/K.70VZOybBv9hGKZ2N6,hola2@gmail.com,admin,Tue Mar 25 2025 12:14:39 GMT-0600 (hora estándar central),Tue Mar 25 2025 12:14:39 GMT-0600 (hora estándar central),7e06a0c1-f819-4b8e-a4e8-4e8fe5e2399d
20,hola3,$2b$10$QKKEhMPiMYzubYMUCgH11OlepnXMSnEm4yFaUQLYN6SgP8etoaBse,hola3@gmail.com,admin,Tue Mar 25 2025 13:04:41 GMT-0600 (hora estándar central),Tue Mar 25 2025 13:04:41 GMT-0600 (hora estándar central),ade01258-eab6-4572-a5fd-9979ff9301f4
21,hola4,$2b$10$0TTRezHTqfXAWbrupIL2EefVn.50nJFQZIdc22eToFq0jwsjo3Dr2,hola4@gmail.com,admin,Tue Mar 25 2025 13:09:38 GMT-0600 (hora estándar central),Tue Mar 25 2025 13:09:38 GMT-0600 (hora estándar central),9d76a170-87c2-4627-9ac5-1e01c5e51cf2
22,testuser,$2b$10$dMraA/CDcARVjLr/4dlFgOjDqQAgbvcHd8iopEaiXXocOT0xGOR.K,test@example.com,user,Tue Mar 25 2025 15:57:38 GMT-0600 (hora estándar central),Tue Mar 25 2025 15:57:38 GMT-0600 (hora estándar central),603a04cb-fc7a-46cd-b3c6-a4216fb49bf4
24,testusefr2,,testdd2@example.com,admin,Tue Mar 25 2025 16:02:47 GMT-0600 (hora estándar central),Tue Mar 25 2025 16:02:47 GMT-0600 (hora estándar central),79e93f6a-6158-4c43-a93f-0021f8a0a44c
25,mitzy,,mitzy@example.com,admin,Tue Mar 25 2025 16:03:47 GMT-0600 (hora estándar central),Tue Mar 25 2025 16:03:47 GMT-0600 (hora estándar central),5ba03f65-c7ec-4cbb-8e84-25be0596eb2b
26,Larue_Witting,i2BblDCACTcRMbN,Jacey40@gmail.com,user,Tue Jun 24 2025 15:04:03 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:03 GMT-0600 (hora estándar central),be0ece55-e0f7-43ac-9a12-fcf14fbcd627
27,May.Pouros,r4yyEuI4eIG2OC3,Alize63@hotmail.com,user,Tue Jun 24 2025 15:04:03 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:03 GMT-0600 (hora estándar central),74c59995-1741-4a79-afc2-c4a43ce130ff
28,Saul_Bode,LEjKcmlgzbkRWQX,Darrick_Wiza-Bailey67@hotmail.com,user,Tue Jun 24 2025 15:04:03 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:03 GMT-0600 (hora estándar central),d724a96b-10af-4c31-a520-1b8bfdf7824a
29,Clinton_Kohler84,8mr377TK3gZLJOx,Aisha33@gmail.com,user,Tue Jun 24 2025 15:04:03 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:03 GMT-0600 (hora estándar central),9d101343-e6fe-43b4-b6d1-0d421b3fc92d
30,Torey37,4LrGi1NEDurg6hd,Jovani.Rosenbaum@yahoo.com,user,Tue Jun 24 2025 15:04:03 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:03 GMT-0600 (hora estándar central),019aa51e-803b-4f28-ac4a-0062eb1862e6
31,Rowland11,kXLD5wmWJAbygpW,Rosemarie.Rowe@gmail.com,user,Tue Jun 24 2025 15:04:03 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:03 GMT-0600 (hora estándar central),033f5c06-9961-4a71-b056-4ced21b9fe67
